node,0
node,1
node,2
node,3
node,4
link,0,1,1Mbps,1109.91ns,wireless,
6423117,phy-recv,1,-1
6424236,mac-recv,1,-1
6424236,mac-recv,1,-1
6424237,mac-recv,1,-1
6424237,mac-recv,1,-1
6435385,mac-send,3,-1
6435385,phy-send,3,-1
6435386,phy-recv,3,-1
6435386,phy-recv,3,-1
6435386,phy-recv,3,-1
6435387,phy-recv,3,-1
6436506,mac-recv,3,-1
6436506,mac-recv,3,-1
6436506,mac-recv,3,-1
6436507,mac-recv,3,-1
8163699,mac-send,1,-1
8163699,phy-send,1,-1
8163700,phy-recv,1,-1
8163701,phy-recv,1,-1
8163701,phy-recv,1,-1
8163701,phy-recv,1,-1
8164820,mac-recv,1,-1
8164821,mac-recv,1,-1
8164821,mac-recv,1,-1
8164821,mac-recv,1,-1
8169806,mac-send,2,-1
8169806,phy-send,2,-1
8169806,phy-recv,2,-1
8169806,phy-recv,2,-1
8169807,phy-recv,2,-1
8169807,phy-recv,2,-1
8170926,mac-recv,2,-1
8170926,mac-recv,2,-1
8170927,mac-recv,2,-1
8170927,mac-recv,2,-1
8210335,mac-send,0,-1
8210335,phy-send,0,-1
8210336,phy-recv,0,-1
8210336,phy-recv,0,-1
8210336,phy-recv,0,-1
8210336,phy-recv,0,-1
8211456,mac-recv,0,-1
8211456,mac-recv,0,-1
8211456,mac-recv,0,-1
8211456,mac-recv,0,-1
8312682,mac-send,3,-1
8312682,phy-send,3,-1
8312683,phy-recv,3,-1
8312683,phy-recv,3,-1
8312684,phy-recv,3,-1
8312684,phy-recv,3,-1
8313803,mac-recv,3,-1
8313803,mac-recv,3,-1
8313804,mac-recv,3,-1
8313804,mac-recv,3,-1
8486497,mac-send,4,-1
8486497,phy-send,4,-1
8486498,phy-recv,4,-1
8486498,phy-recv,4,-1
8486498,phy-recv,4,-1
8486499,phy-recv,4,-1
8487618,mac-recv,4,-1
8487618,mac-recv,4,-1
8487618,mac-recv,4,-1
8487619,mac-recv,4,-1
10150855,mac-send,3,-1
10150855,phy-send,3,-1
10150856,phy-recv,3,-1
10150856,phy-recv,3,-1
10150856,phy-recv,3,-1
10150857,phy-recv,3,-1
10151976,mac-recv,3,-1
10151976,mac-recv,3,-1
10151976,mac-recv,3,-1
10151977,mac-recv,3,-1
10166949,mac-send,2,-1
10166949,phy-send,2,-1
10166949,phy-recv,2,-1
10166949,phy-recv,2,-1
10166950,phy-recv,2,-1
10166950,phy-recv,2,-1
10168069,mac-recv,2,-1
10168069,mac-recv,2,-1
10168070,mac-recv,2,-1
10168070,mac-recv,2,-1
10170820,mac-send,1,-1
10170820,phy-send,1,-1
10170820,phy-recv,1,-1
10170821,phy-recv,1,-1
10170821,phy-recv,1,-1
10170822,phy-recv,1,-1
10171940,mac-recv,1,-1
10171941,mac-recv,1,-1
10171941,mac-recv,1,-1
10171942,mac-recv,1,-1
10264631,mac-send,4,-1
10264631,phy-send,4,-1
10264631,phy-recv,4,-1
10264631,phy-recv,4,-1
10264632,phy-recv,4,-1
10264632,phy-recv,4,-1
10265751,mac-recv,4,-1
10265751,mac-recv,4,-1
10265752,mac-recv,4,-1
10265752,mac-recv,4,-1
10299393,mac-send,0,-1
10299393,phy-send,0,-1
10299393,phy-recv,0,-1
10299393,phy-recv,0,-1
10299393,phy-recv,0,-1
10299394,phy-recv,0,-1
10300513,mac-recv,0,-1
10300513,mac-recv,0,-1
10300513,mac-recv,0,-1
10300514,mac-recv,0,-1
12093478,mac-send,0,-1
12093478,phy-send,0,-1
12093479,phy-recv,0,-1
12093479,phy-recv,0,-1
12093479,phy-recv,0,-1
12093480,phy-recv,0,-1
12094599,mac-recv,0,-1
12094599,mac-recv,0,-1
12094599,mac-recv,0,-1
12094600,mac-recv,0,-1
12121038,mac-send,1,-1
12121038,phy-send,1,-1
12121038,phy-recv,1,-1
12121039,phy-recv,1,-1
12121039,phy-recv,1,-1
12121039,phy-recv,1,-1
12122158,mac-recv,1,-1
12122159,mac-recv,1,-1
12122159,mac-recv,1,-1
12122159,mac-recv,1,-1
12168751,mac-send,4,-1
12168751,phy-send,4,-1
12168751,phy-recv,4,-1
12168751,phy-recv,4,-1
12168752,phy-recv,4,-1
12168752,phy-recv,4,-1
12169871,mac-recv,4,-1
12169871,mac-recv,4,-1
12169872,mac-recv,4,-1
12169872,mac-recv,4,-1
12239410,mac-send,3,-1
12239410,phy-send,3,-1
12239411,phy-recv,3,-1
12239411,phy-recv,3,-1
12239412,phy-recv,3,-1
12239412,phy-recv,3,-1
12240531,mac-recv,3,-1
12240531,mac-recv,3,-1
12240532,mac-recv,3,-1
12240532,mac-recv,3,-1
12270494,mac-send,2,-1
12270494,phy-send,2,-1
12270494,phy-recv,2,-1
12270495,phy-recv,2,-1
12270495,phy-recv,2,-1
12270495,phy-recv,2,-1
12271614,mac-recv,2,-1
12271615,mac-recv,2,-1
12271615,mac-recv,2,-1
12271615,mac-recv,2,-1
14110907,mac-send,2,-1
14110907,phy-send,2,-1
14110907,phy-recv,2,-1
14110907,phy-recv,2,-1
14110908,phy-recv,2,-1
14110908,phy-recv,2,-1
14112027,mac-recv,2,-1
14112027,mac-recv,2,-1
14112028,mac-recv,2,-1
14112028,mac-recv,2,-1
14288538,mac-send,0,-1
14288538,phy-send,0,-1
14288538,phy-recv,0,-1
14288538,phy-recv,0,-1
14288538,phy-recv,0,-1
14288539,phy-recv,0,-1
14289658,mac-recv,0,-1
14289658,mac-recv,0,-1
14289658,mac-recv,0,-1
14289659,mac-recv,0,-1
14383445,mac-send,4,-1
14383445,phy-send,4,-1
14383446,phy-recv,4,-1
14383446,phy-recv,4,-1
14383447,phy-recv,4,-1
14383447,phy-recv,4,-1
14384566,mac-recv,4,-1
14384566,mac-recv,4,-1
14384567,mac-recv,4,-1
14384567,mac-recv,4,-1
14429940,mac-send,3,-1
14429940,phy-send,3,-1
14429941,phy-recv,3,-1
14429941,phy-recv,3,-1
14429941,phy-recv,3,-1
14429942,phy-recv,3,-1
14431061,mac-recv,3,-1
14431061,mac-recv,3,-1
14431061,mac-recv,3,-1
14431062,mac-recv,3,-1
14446067,mac-send,1,-1
14446067,phy-send,1,-1
14446068,phy-recv,1,-1
14446068,phy-recv,1,-1
14446069,phy-recv,1,-1
14446069,phy-recv,1,-1
14447188,mac-recv,1,-1
14447188,mac-recv,1,-1
14447189,mac-recv,1,-1
14447189,mac-recv,1,-1
16038225,mac-send,2,-1
16038225,phy-send,2,-1
16038226,phy-recv,2,-1
16038226,phy-recv,2,-1
16038226,phy-recv,2,-1
16038227,phy-recv,2,-1
16039346,mac-recv,2,-1
16039346,mac-recv,2,-1
16039346,mac-recv,2,-1
16039347,mac-recv,2,-1
16076665,mac-send,3,-1
16076665,phy-send,3,-1
16076666,phy-recv,3,-1
16076666,phy-recv,3,-1
16076667,phy-recv,3,-1
16076667,phy-recv,3,-1
16077786,mac-recv,3,-1
16077786,mac-recv,3,-1
16077787,mac-recv,3,-1
16077787,mac-recv,3,-1
16181999,mac-send,4,-1
16181999,phy-send,4,-1
16182000,phy-recv,4,-1
16182000,phy-recv,4,-1
16182001,phy-recv,4,-1
16182001,phy-recv,4,-1
16183120,mac-recv,4,-1
16183120,mac-recv,4,-1
16183121,mac-recv,4,-1
16183121,mac-recv,4,-1
16271965,mac-send,1,-1
16271965,phy-send,1,-1
16271965,phy-recv,1,-1
16271966,phy-recv,1,-1
16271966,phy-recv,1,-1
16271967,phy-recv,1,-1
16273085,mac-recv,1,-1
16273086,mac-recv,1,-1
16273086,mac-recv,1,-1
16273087,mac-recv,1,-1
16448437,mac-send,0,-1
16448437,phy-send,0,-1
16448438,phy-recv,0,-1
16448438,phy-recv,0,-1
16448438,phy-recv,0,-1
16448438,phy-recv,0,-1
16449558,mac-recv,0,-1
16449558,mac-recv,0,-1
16449558,mac-recv,0,-1
16449558,mac-recv,0,-1
18016925,mac-send,1,-1
18016925,phy-send,1,-1
18016926,phy-recv,1,-1
18016926,phy-recv,1,-1
18016927,phy-recv,1,-1
18016927,phy-recv,1,-1
